embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
7464960,176165376,176165376,176165376,176165376,176165376,176165376,176165376,176165376,176687616,176687616,176513536,176687616,7658496
6113280,135862272,135862272,135862272,135862272,135862272,135862272,135862272,135862272,135862272,135862272,135862272,135862272,6129664
12042240,340256768,340256768,340256768,340256768,340256768,340256768,340256768,340256768,340256768,340256768,340256768,340256768,12073984
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
11811840,330979840,330979840,330979840,330979840,330979840,330979840,330979840,333666304,333666304,332770816,333666304,331875328,11843072
6420480,144696320,144696320,144696320,144696320,144696320,144696320,144696320,144696320,144696320,144696320,144696320,144696320,6437376
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
4456448,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,78663680,3942400
8064000,195217408,195217408,195217408,195217408,195217408,195217408,195217408,195217408,195217408,195217408,195217408,195217408,8085504
9108480,230985728,230985728,230985728,230985728,230985728,230985728,230985728,230985728,230985728,230985728,230985728,230985728,9132544
4456448,84291584,84291584,84291584,84291584,84291584,84291584,84680704,84058112,84213760,84213760,84213760,83668992,4127232
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
8079360,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,195715072,8100864
8017920,193725952,193725952,193725952,193725952,193725952,193725952,193725952,193725952,193725952,193725952,193725952,193725952,8038912
5391360,116610560,115858944,115858944,115858944,115858944,115858944,115858944,115858944,115858944,115858944,115858944,115858944,5405696
4792320,100066304,100066304,100066304,100066304,100066304,100066304,100066304,100066304,100672512,100984832,100984832,100378624,4805120
4730880,98488320,98488320,98488320,98488320,98488320,98488320,98488320,98488320,99463168,100438016,98877440,98877440,4743680
5560320,120860160,120446464,120446464,120446464,120446464,120446464,120446464,120446464,120446464,120446464,120446464,120446464,5575168
4456448,80667648,80667648,80667648,80667648,80667648,80667648,80667648,80667648,79774208,79774208,79774208,79774208,3988992
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
15175680,477165568,477165568,477165568,477165568,477165568,477165568,477165568,477165568,477165568,477165568,477165568,477165568,15215616
7864320,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,7884800
4456448,90710016,90710016,90710016,90710016,90710016,90710016,91316224,91316224,91316224,91316224,90710016,90710016,4435456
8463360,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,8485888
4456448,73617408,73188352,73188352,73188352,73188352,73188352,73188352,73188352,73188352,74415104,73188352,73188352,3711488
4838400,101962752,101962752,101962752,101962752,101962752,101962752,101962752,101962752,102292480,101914624,101255168,101255168,4851200
4456448,77193216,77193216,77193216,77193216,77193216,77193216,77193216,77193216,77193216,77193216,77193216,77193216,3880960
12902400,377488384,377488384,377488384,377488384,377488384,377488384,377488384,379126784,379126784,377488384,375849984,375849984,12936192
8279040,202234880,202234880,202234880,202234880,202234880,202234880,202234880,202234880,202234880,202234880,202234880,202234880,8301056
5698560,126113792,125976576,125976576,125976576,125976576,125976576,124241920,124241920,124241920,124241920,124241920,124241920,5713408
11534336,289107968,289107968,289107968,289107968,289107968,289107968,289107968,289107968,289107968,289107968,289107968,289107968,10764800
9277440,236044288,236044288,236044288,236044288,236044288,236044288,236044288,236044288,236044288,236044288,236044288,236044288,9302016
8463360,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,208859136,8485888
7265280,170576384,170576384,170576384,170576384,170576384,170576384,169978368,169978368,169978368,169978368,169978368,169978368,7284224
9000960,226477568,226477568,226477568,226477568,226477568,226477568,226477568,226477568,226477568,226477568,226477568,226477568,9024512
14776320,458605568,458605568,458605568,458605568,458605568,458605568,458605568,458605568,458605568,458605568,458605568,458605568,14815232
9062400,228591616,228591616,228591616,228591616,228591616,228591616,228591616,228591616,228591616,228591616,228591616,228591616,9086464
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
5621760,122419200,122128384,122128384,122128384,122128384,122128384,122128384,122128384,122128384,122128384,122128384,122128384,5636608
7848960,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,7869440
6036480,133684224,133684224,133684224,133684224,133684224,133684224,133684224,133684224,133684224,133684224,133684224,133684224,6052352
7004160,162008064,162008064,162008064,162008064,162008064,162008064,162008064,162008064,162008064,162008064,162008064,162008064,7022592
4456448,85379072,85379072,85379072,85379072,85379072,85379072,85379072,85379072,85379072,85379072,86120448,86120448,4219904
6389760,143804416,143804416,143804416,143804416,143804416,143804416,143804416,143804416,143804416,143804416,143804416,143804416,6406656
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
15728640,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,503398400,15769600
