batch_size,input_length,embedding_layer,block_0_ln_1,block_0_attn,block_0_ln_2,block_0_mlp,block_1_ln_1,block_1_attn,block_1_ln_2,block_1_mlp,block_2_ln_1,block_2_attn,block_2_ln_2,block_2_mlp,block_3_ln_1,block_3_attn,block_3_ln_2,block_3_mlp,block_4_ln_1,block_4_attn,block_4_ln_2,block_4_mlp,block_5_ln_1,block_5_attn,block_5_ln_2,block_5_mlp,block_6_ln_1,block_6_attn,block_6_ln_2,block_6_mlp,block_7_ln_1,block_7_attn,block_7_ln_2,block_7_mlp,block_8_ln_1,block_8_attn,block_8_ln_2,block_8_mlp,block_9_ln_1,block_9_attn,block_9_ln_2,block_9_mlp,block_10_ln_1,block_10_attn,block_10_ln_2,block_10_mlp,block_11_ln_1,block_11_attn,block_11_ln_2,block_11_mlp,FC_layer
3,819,17611776,7568384,158069760,7568384,158505984,7568384,158069760,7568384,158505984,7568384,158069760,7568384,158505984,7568384,158069760,7568384,158505984,7568384,158069760,7568384,158515200,7577600,157644800,7568384,158515200,7577600,157672448,7568384,158515200,7577600,157672448,7568384,158515200,7577600,157644800,7568384,158505984,7568384,157644800,7568384,158505984,7568384,157644800,7568384,158505984,7568384,157644800,7568384,158505984,7568384
3,587,12916736,5424128,93789696,5424128,113819648,5638144,94217728,5424128,113819648,5638144,94217728,5424128,113819648,5638144,94217728,5424128,113819648,5638144,93789696,5424128,113605632,5424128,93789696,5424128,113605632,5424128,93789696,5424128,113605632,5424128,93789696,5424128,113605632,5424128,94504448,5424128,113605632,6138880,93789696,5424128,113605632,5424128,93789696,5424128,113605632,5424128,93835264,5424128,113605632,5424128
3,165,3554304,1767424,17887232,1767424,32176128,1767424,17995264,2101248,32509952,2101248,18996736,2101248,33345536,2101248,19062784,2146816,33391104,2101248,19020288,2315264,33559552,2146816,20066816,2315264,32769024,2315264,16742912,1524736,32800768,1556480,16627200,2110464,32769024,1524736,17616384,1524736,33547264,2302976,19045888,2302976,32769024,1524736,17310208,1524736,33547264,2302976,18448896,1524736,32769024,1524736
3,348,7976960,3216384,44140032,3216384,67811328,3677184,44600832,3216384,67811328,3677184,44600832,3216384,67350528,3677184,43218432,3216384,67350528,3216384,43218432,3216384,67350528,3216384,43218432,3216384,68091904,3216384,45442560,3216384,68091904,3957760,45442560,3216384,68091904,3957760,43218432,3216384,67350528,3216384,43218432,3216384,67350528,3216384,43218432,3216384,67350528,3216384,43218432,3216384,67350528,3216384
3,268,6500352,2845696,32156160,2845696,52101120,2710528,31612416,2845696,52101120,2710528,31612416,2845696,52101120,2710528,31612416,2845696,52101120,2710528,31612416,2968576,52101120,2710528,31735296,2968576,52359168,2845696,32632320,2968576,52359168,2968576,32918016,2968576,52822528,2968576,31443456,2477056,52331008,2477056,30460416,2477056,52564480,2710528,30927360,2477056,53359104,2710528,31488512,2477056,52331008,2477056
3,828,18468864,7651328,161233408,7651328,164917248,7651328,161233408,7651328,164917248,7651328,161233408,7651328,164917248,7651328,161233408,7651328,164917248,7651328,161233408,7651328,163983360,7651328,161057280,7651328,160247808,7651328,161057280,7651328,160247808,7651328,161057280,7651328,160247808,7651328,161057280,7651328,160247808,7651328,161057280,7651328,160247808,7651328,161057280,7651328,160247808,7651328,161057280,7651328,160247808,7651328
3,464,10838016,4381696,66251776,4733952,90247168,4381696,68578304,4963328,90476544,4963328,68807680,4963328,90476544,4963328,68807680,4963328,89800704,4963328,65428480,4287488,89800704,4287488,65428480,4287488,89800704,4287488,65428480,4287488,89800704,4287488,65428480,4287488,89800704,4287488,65428480,4287488,89800704,4287488,65428480,4287488,89800704,4287488,66022400,4287488,90394624,4881408,67210240,4287488,90394624,4881408
3,328,8740864,3874816,44108800,3874816,66781184,3874816,45034496,3874816,66781184,3874816,44329984,3956736,66863104,3956736,41634816,3031040,65937408,3031040,40142848,3031040,65937408,3031040,40142848,3031040,65937408,3031040,40142848,3031040,65937408,3031040,40142848,3031040,63479808,3768320,40520704,3768320,63479808,3031040,39783424,3031040,63479808,3031040,39783424,3031040,63479808,3031040,39783424,3031040,63479808,3031040
3,1024,22265856,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760,228590080,9461760,198180864,9461760
3,483,12582912,4463616,69438464,4463616,93477888,4463616,69438464,4463616,93477888,4463616,69438464,4463616,93477888,4463616,69438464,4463616,93477888,4463616,70245376,4463616,93477888,4463616,69438464,4463616,93477888,4463616,69438464,4463616,93477888,4463616,69438464,4463616,93477888,4463616,69438464,4463616,93477888,4463616,69438464,4463616,93477888,4463616,69438464,4463616,93477888,4463616,69438464,4463616,93477888,4463616
