embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
20626432,347018240,347018240,347018240,347018240,347018240,347018240,347018240,347018240,347018240,347018240,347018240,347018240,24576
12526592,192655360,192333824,190404608,189118464,189118464,189118464,189118464,189118464,189118464,189118464,189118464,189118464,14848
21062656,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,25088
31332864,605859328,605859328,605859328,608507392,609499648,608172544,607289856,608062976,608616960,609390080,609390080,609390080,37376
7639040,109813248,110099968,110099968,109669888,109526528,109526528,109922816,109922816,109526528,109526528,109526528,109526528,9216
11458560,174526464,174239744,173666304,173522944,173522944,173522944,173522944,173522944,173522944,173522944,173737984,174383104,13824
16582656,263328256,263328256,263328256,264186368,265902592,266760704,264186368,265140736,265744896,263932416,265140736,265744896,19456
12925952,198085120,198355968,199404032,199404032,199404032,199404032,199404032,199404032,199404032,199404032,198744576,197755392,15360
21062656,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,359342080,25088
30251008,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,578041344,35840
20155392,329148416,329148416,329148416,329148416,329148416,329148416,329148416,329148416,329148416,329916416,331452416,332777472,23552
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
16109568,246266880,246266880,246266880,246266880,246266880,246266880,246266880,246266880,246266880,246266880,246266880,246266880,18432
10043904,140473344,140473344,140473344,140473344,140473344,140473344,140473344,140473344,140473344,140473344,140473344,140473344,11776
11154432,173072896,171680256,168894976,168198656,168198656,168198656,168198656,168198656,168198656,168198656,169495552,169495552,13312
18352640,294998016,294998016,294998016,294998016,294998016,294998016,294998016,294998016,294998016,294998016,294998016,294998016,21504
10089984,149017600,149017600,149794816,149794816,149535744,149017600,149017600,149017600,149017600,149017600,149017600,149017600,12288
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
13202944,202569216,202569216,202569216,202569216,202569216,202569216,202569216,202569216,202569216,202569216,202569216,202569216,15872
7605248,109458944,109929984,109929984,109223424,108987904,108987904,109538304,109538304,108987904,108987904,108987904,108987904,9216
7875584,114111488,114098176,114098176,113313792,114771968,114771968,115501056,115501056,115501056,115501056,115501056,115501056,9728
18137600,290214400,290214400,290214400,290214400,290214400,290214400,290214400,290214400,290214400,290214400,290214400,290214400,20992
19617280,306139648,305754624,305177088,305177088,305177088,305177088,305177088,305177088,305177088,305177088,305177088,305177088,22016
21486592,367389184,367389184,367389184,367389184,367389184,367389184,367389184,367389184,367389184,367389184,367389184,367389184,25600
19970560,320945152,321743872,321743872,321743872,321743872,321743872,321477632,320678912,320678912,320678912,320678912,320678912,23040
17584128,280477696,280477696,280477696,280477696,278020096,278020096,278020096,278020096,278020096,278020096,279003136,280969216,20480
10050048,141606400,141606400,141606400,141606400,141606400,141606400,141606400,141606400,141606400,141606400,141606400,141606400,11776
5577216,78932480,80228864,79628800,78495232,78358016,78317056,78358016,77798912,77556224,77556224,77539840,77539840,6656
24885248,437764608,440246784,441074176,441074176,438592000,437764608,437764608,437764608,437764608,437764608,437764608,437764608,29184
16521216,261419008,261419008,261419008,261419008,263503872,265588736,262453248,263487488,265555968,262453248,263487488,265555968,19456
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
12403712,191766528,191322112,188655616,186877952,186877952,186877952,186877952,186877952,186877952,186877952,186877952,186877952,14848
10850304,162916352,162916352,162916352,162916352,162916352,162916352,162916352,162916352,162916352,162916352,162916352,162916352,13312
11526144,174854144,174813184,174731264,174710784,174710784,174710784,174710784,174710784,174710784,174710784,174741504,174833664,13824
16413696,258180608,258180608,258180608,258180608,258180608,258180608,258180608,258180608,258602496,256493056,256493056,256071168,18944
10275328,153930752,153930752,153930752,153041920,153041920,153041920,153041920,153041920,153041920,153041920,153041920,153041920,12288
26702336,490235392,490235392,490235392,490235392,490235392,490235392,490235392,490235392,490235392,490235392,490235392,490235392,31744
10053120,142173696,142173696,142173696,142173696,142173696,142173696,142173696,142173696,142173696,142173696,142173696,142173696,11776
16751616,270646272,270646272,270646272,270997504,271699968,272051200,270646272,270997504,270646272,270646272,270646272,270646272,19968
14216704,223181824,223181824,223181824,223181824,223181824,223181824,223181824,223181824,223181824,223181824,223181824,223181824,16896
16490496,259936256,259936256,259936256,259936256,259936256,259936256,259936256,259936256,260050944,259477504,259477504,259362816,19456
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
10241536,153500160,153500160,153500160,152465920,152465920,152465920,152465920,152465920,152465920,152465920,152465920,152580608,12288
11458560,174526464,174239744,173666304,173522944,173522944,173522944,173522944,173522944,173522944,173522944,173737984,174383104,13824
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
14370304,226350080,226350080,226350080,226350080,226350080,226350080,226350080,226350080,226350080,226350080,226350080,226350080,17408
20186112,330567168,330567168,330567168,330567168,330567168,330567168,330567168,330567168,330567168,331120128,332226048,332844544,23552
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
20503552,344138752,344138752,344138752,344138752,344138752,344138752,344138752,344138752,344138752,344138752,344138752,344138752,24064
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
11850752,176897536,175900160,175900160,175900160,175900160,175900160,175900160,175900160,175900160,175900160,175900160,175900160,13824
19648000,306387968,306248704,306039808,306039808,306039808,306039808,306039808,306039808,306039808,306039808,306039808,306039808,22016
31772160,617299456,617299456,617299456,617782784,620199424,617782784,620199424,617782784,620199424,617782784,620199424,617782784,37888
26668544,489424896,489424896,489424896,489424896,489424896,489424896,489424896,489424896,489424896,489424896,489424896,489424896,31744
10071552,146234880,146954752,148466688,149186560,146403840,145683968,145683968,145683968,145683968,145683968,145683968,145683968,11776
13725184,213121024,213966848,213966848,213966848,213966848,213966848,213966848,213966848,213966848,214396928,214827008,216117248,16384
10173952,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151314432,151780352,12288
8788480,130896896,132903936,132150272,129139712,128136192,128136192,128136192,128136192,128136192,128136192,128136192,128136192,10752
16613376,264654336,264654336,264654336,265420288,266952192,267718144,265420288,265821696,266210816,265043456,265821696,266210816,19456
13479424,208138240,208138240,208138240,208138240,208138240,208138240,208138240,208138240,208138240,209182720,210227200,213360640,15872
26432000,483764224,483764224,483764224,483764224,483764224,483764224,483764224,483764224,483764224,483764224,483764224,483764224,31744
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
25924608,471711744,471711744,471711744,471711744,471711744,471711744,471711744,471711744,471711744,473561088,474177536,474177536,30720
14093824,220655104,220655104,220655104,220655104,220655104,220655104,220655104,220655104,220655104,220655104,220655104,220655104,16896
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
8585216,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,124810240,10240
18168320,290896384,290896384,290896384,290896384,290896384,290896384,290896384,290896384,290896384,290896384,290896384,290896384,20992
20355072,338404352,338404352,338404352,338404352,338404352,338404352,338404352,338404352,338404352,338404352,338404352,338404352,24064
9994752,132562432,133647872,133647872,132019712,131598336,132358144,133877760,131598336,133117952,133877760,131598336,133117952,10752
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
18199040,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,291578880,20992
18076160,288851968,288851968,288851968,288851968,288851968,288851968,288851968,288851968,288851968,288851968,288851968,288851968,20992
12035072,180422144,179609088,179609088,179609088,179609088,179609088,179609088,179609088,179609088,179609088,179481600,179481600,14336
10478080,156516864,156516864,156516864,156512256,160464896,157302784,161255424,157302784,161255424,157302784,161255424,157302784,12800
10342912,154791936,154791936,154791936,154195968,154195968,154195968,154195968,154195968,154195968,154195968,154195968,154195968,12288
12372992,191673856,191198720,188347904,186447360,186447360,186447360,186447360,186447360,186447360,186447360,186447360,186447360,14848
8687104,126472192,126472192,126472192,126472192,126472192,126472192,126472192,126472192,126472192,126472192,126472192,126472192,10752
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
33327104,658438656,658438656,658438656,658438656,658438656,658438656,658438656,658438656,658438656,658438656,659864064,659388928,39936
17768448,283171840,283171840,283171840,283171840,282557440,282557440,282557440,282557440,282557440,282557440,282803200,283294720,20480
10056192,142740992,142740992,142740992,142740992,143684096,143684096,143684096,143684096,143684096,143684096,143684096,143684096,11776
19709440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,308797440,22016
8078336,117097984,116576768,118661632,120746496,121713152,117543424,117543424,117543424,117543424,117543424,117543424,117543424,9728
10579456,159292928,159292928,159292928,159292928,161349120,159806976,162377216,159806976,162377216,159806976,162377216,158767104,12800
8450048,122618368,122604032,123049984,122718720,122718720,122992640,122604032,122604032,122604032,122604032,122604032,122604032,10240
28324864,535368704,534426624,534426624,534426624,532542464,529716224,529716224,529716224,529716224,529716224,529716224,529716224,33792
19525120,303299584,302177280,300493824,300493824,300493824,300493824,300493824,300493824,300493824,300493824,300493824,300493824,21504
12649472,194606592,194407936,194236928,195484160,196505088,197526016,197526016,197671424,196650496,196650496,196650496,196650496,14848
24387072,416903680,416903680,416903680,416903680,416903680,416903680,416903680,416903680,416903680,416903680,416903680,416903680,28160
20595712,346297344,346297344,346297344,346297344,346297344,346297344,346297344,346297344,346297344,346297344,346297344,346297344,24576
